Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_09;474.00;505.00;434.00;482.00;522.00;551.00;533.00;471.00;521.00;572.00;0.29;10.00;0.94;365.98;24.48;9.67;23.33;15.69;10.63;0.32;32.96;407.00;438.00;10.00;12.74;47.47;52.53;44.26;
IFP 160K_10;474.00;505.00;437.00;484.00;523.00;551.00;532.00;471.00;522.00;572.00;0.29;9.99;0.94;364.86;23.88;9.99;23.08;15.81;10.62;0.32;33.00;407.00;438.00;9.99;12.72;47.47;52.53;44.26;
SOIL_10224;466.00;530.00;344.00;392.00;446.00;511.00;504.00;432.00;491.00;552.00;0.07;1.22;0.49;125.70;243.50;77.83;221.57;0.57;2.49;0.21;11.66;329.00;383.00;1.22;3.53;60.38;39.62;14.75;
SOIL_10225;454.00;517.00;343.00;392.00;444.00;510.00;487.00;415.00;468.00;541.00;0.06;0.97;0.51;139.15;256.92;68.65;226.08;0.62;1.91;0.23;8.43;319.00;372.00;0.97;2.69;71.37;28.63;29.62;
SOIL_10226;457.00;523.00;343.00;393.00;444.00;511.00;499.00;418.00;472.00;542.00;0.05;0.82;0.50;136.83;250.12;74.97;224.75;0.61;1.63;0.23;7.23;320.00;372.00;0.82;2.29;73.51;26.49;28.36;
SOIL_10227;461.00;514.00;340.00;389.00;442.00;509.00;488.00;422.00;475.00;544.00;0.08;1.80;0.59;173.47;231.07;68.23;207.04;0.84;3.08;0.25;12.52;318.00;373.00;1.80;4.08;55.87;44.13;25.04;
SOIL_10228;455.00;520.00;342.00;391.00;444.00;510.00;485.00;414.00;467.00;540.00;0.06;1.05;0.51;136.61;243.53;72.65;218.63;0.62;2.05;0.22;9.25;320.00;372.00;1.05;2.85;68.70;31.30;29.82;
SOIL_10229;464.00;527.00;343.00;392.00;445.00;511.00;501.00;430.00;487.00;550.00;0.06;1.27;0.51;133.70;236.25;75.36;214.88;0.62;2.50;0.22;11.48;327.00;380.00;1.27;3.49;59.68;40.32;15.32;
SOIL_10230;456.00;520.00;342.00;391.00;443.00;510.00;486.00;416.00;470.00;542.00;0.06;1.07;0.52;143.66;242.00;72.87;217.64;0.66;2.04;0.23;8.95;319.00;370.00;1.07;2.82;68.46;31.54;30.60;
SOIL_10231;455.00;521.00;343.00;394.00;445.00;510.00;480.00;413.00;465.00;539.00;0.06;0.83;0.48;131.45;270.24;71.28;237.27;0.55;1.72;0.23;7.60;319.00;373.00;0.83;2.48;72.83;27.17;29.39;
SOIL_10232;469.00;534.00;345.00;394.00;447.00;511.00;505.00;428.00;490.00;551.00;0.06;0.98;0.46;114.98;260.70;76.75;233.45;0.49;2.15;0.21;10.28;332.00;385.00;0.98;3.14;66.01;33.99;23.70;
SOIL_10233;459.00;522.00;343.00;394.00;446.00;511.00;495.00;422.00;476.00;546.00;0.07;0.98;0.48;129.72;267.69;75.91;238.06;0.54;2.04;0.22;9.11;321.00;378.00;0.98;2.93;68.12;31.88;28.55;
SOIL_10234;469.00;530.00;347.00;396.00;449.00;514.00;505.00;436.00;494.00;554.00;0.07;1.45;0.50;130.58;241.54;78.63;220.60;0.59;2.89;0.22;13.36;333.00;388.00;1.45;4.20;55.07;44.93;12.89;
SOIL_10235;465.00;527.00;343.00;391.00;444.00;510.00;494.00;428.00;489.00;551.00;0.07;1.38;0.49;124.42;247.15;75.55;222.92;0.56;2.83;0.21;13.34;330.00;381.00;1.38;3.97;55.82;44.18;15.22;
SOIL_10237;465.00;530.00;343.00;392.00;446.00;512.00;497.00;433.00;490.00;553.00;0.06;1.05;0.48;123.16;247.21;74.57;222.40;0.55;2.19;0.21;10.31;326.00;380.00;1.05;3.09;64.77;35.23;23.00;
SOIL_10237BIS;463.00;527.00;342.00;392.00;445.00;511.00;501.00;431.00;488.00;552.00;0.06;1.05;0.48;121.28;248.16;82.09;227.39;0.53;2.20;0.21;10.40;325.00;379.00;1.05;3.08;65.20;34.80;23.53;
SOIL_10239;464.00;530.00;344.00;392.00;445.00;511.00;509.00;432.00;490.00;553.00;0.06;1.25;0.50;133.24;238.48;80.47;219.42;0.61;2.48;0.22;11.33;328.00;380.00;1.25;3.44;59.92;40.08;14.88;
SOIL_10242;453.00;511.00;343.00;394.00;446.00;511.00;475.00;413.00;463.00;538.00;0.06;1.25;0.56;160.43;235.00;65.28;208.21;0.77;2.23;0.24;9.42;318.00;369.00;1.25;3.08;65.72;34.28;28.67;
SOIL_10611;467.00;525.00;345.00;396.00;450.00;514.00;474.00;421.00;481.00;543.00;0.15;2.70;0.48;131.64;299.03;66.42;255.43;0.52;5.64;0.23;24.73;338.00;391.00;2.70;8.45;53.22;46.78;22.44;
SOIL_10612;463.00;518.00;342.00;394.00;447.00;513.00;471.00;423.00;482.00;549.00;0.12;2.06;0.49;136.89;286.22;69.91;248.11;0.55;4.17;0.23;18.13;327.00;383.00;2.06;6.08;54.46;45.54;23.33;
SOIL_10613;465.00;525.00;346.00;396.00;450.00;514.00;471.00;420.00;479.00;543.00;0.13;2.26;0.46;126.14;307.26;67.11;261.81;0.48;4.88;0.23;21.56;339.00;392.00;2.26;7.43;54.66;45.34;24.11;
SOIL_10616;473.00;532.00;344.00;393.00;447.00;513.00;498.00;433.00;495.00;558.00;0.14;3.09;0.55;153.11;242.27;65.87;213.83;0.72;5.60;0.23;24.36;336.00;391.00;3.09;7.75;52.64;47.36;22.84;
SOIL_10617;463.00;526.00;341.00;393.00;447.00;512.00;483.00;418.00;475.00;543.00;0.10;1.35;0.42;113.77;328.54;70.33;279.12;0.41;3.21;0.22;14.27;329.00;384.00;1.35;5.01;57.58;42.42;21.85;
SOIL_10619;472.00;526.00;345.00;396.00;451.00;515.00;492.00;435.00;496.00;556.00;0.15;3.47;0.54;154.72;262.82;68.63;230.36;0.67;6.40;0.24;27.01;335.00;392.00;3.47;9.09;53.18;46.82;24.38;
SOIL_10633;473.00;538.00;349.00;398.00;452.00;517.00;505.00;437.00;496.00;555.00;0.07;1.26;0.48;121.83;245.54;83.62;226.36;0.54;2.64;0.21;12.45;335.00;390.00;1.26;3.98;59.70;40.30;13.19;
SOIL_10634;482.00;547.00;352.00;401.00;454.00;519.00;521.00;449.00;508.00;561.00;0.06;1.12;0.46;116.07;249.96;82.45;228.90;0.51;2.41;0.21;11.62;342.00;396.00;1.12;3.71;68.41;31.59;24.37;
SOIL_10636;474.00;538.00;348.00;397.00;451.00;516.00;505.00;438.00;498.00;555.00;0.06;1.33;0.48;119.75;239.60;75.48;217.38;0.55;2.74;0.21;13.38;336.00;391.00;1.33;4.06;56.42;43.58;14.75;
SOIL_10638;477.00;542.00;349.00;398.00;451.00;517.00;516.00;444.00;503.00;559.00;0.05;0.90;0.45;109.76;244.95;91.08;230.19;0.48;2.02;0.20;9.87;337.00;390.00;0.90;3.08;69.54;30.46;23.83;
SOIL_10639;481.00;547.00;352.00;404.00;462.00;524.00;525.00;447.00;506.00;561.00;0.05;1.01;0.47;120.77;246.01;83.27;226.50;0.53;2.14;0.21;10.10;338.00;392.00;1.01;3.56;74.56;25.44;23.73;
SOIL_10639BIS;483.00;547.00;355.00;406.00;463.00;524.00;517.00;448.00;507.00;562.00;0.05;1.02;0.47;120.60;241.12;85.69;224.33;0.54;2.16;0.21;10.23;340.00;395.00;1.02;3.55;75.73;24.27;22.55;
SOIL_10640;480.00;542.00;351.00;400.00;454.00;519.00;524.00;448.00;507.00;561.00;0.06;1.09;0.47;122.38;256.21;81.16;232.71;0.53;2.31;0.21;10.75;341.00;395.00;1.09;3.58;68.58;31.42;25.08;
SOIL_10644;481.00;548.00;351.00;399.00;453.00;518.00;519.00;446.00;505.00;560.00;0.05;0.89;0.46;113.78;246.45;84.06;227.27;0.50;1.95;0.21;9.46;338.00;391.00;0.89;3.02;71.07;28.93;23.95;
SOIL_10659;453.00;510.00;339.00;387.00;439.00;508.00;463.00;413.00;461.00;537.00;0.07;1.65;0.59;178.89;231.51;63.75;204.80;0.87;2.78;0.25;11.14;315.00;365.00;1.65;3.66;57.84;42.16;30.52;
SOIL_10660;457.00;514.00;341.00;390.00;442.00;508.00;465.00;410.00;458.00;535.00;0.07;1.32;0.55;157.42;246.12;65.72;216.55;0.73;2.39;0.24;10.08;318.00;371.00;1.32;3.26;64.59;35.41;29.14;
SOIL_10661;457.00;516.00;341.00;390.00;443.00;510.00;453.00;412.00;461.00;537.00;0.06;1.15;0.54;153.81;253.96;70.52;225.00;0.68;2.14;0.24;8.98;319.00;373.00;1.15;2.97;67.37;32.63;28.98;
SOIL_10662;456.00;506.00;342.00;391.00;443.00;510.00;444.00;411.00;457.00;535.00;0.08;2.16;0.63;198.51;219.74;61.99;195.24;1.02;3.41;0.26;13.10;316.00;366.00;2.16;4.45;49.60;50.40;28.75;
SOIL_10664;462.00;515.00;344.00;394.00;445.00;511.00;463.00;416.00;464.00;540.00;0.07;1.45;0.56;157.79;238.18;62.78;209.09;0.75;2.58;0.23;11.05;322.00;378.00;1.45;3.54;61.93;38.07;25.29;
SOIL_10665;459.00;509.00;336.00;384.00;436.00;506.00;457.00;412.00;462.00;537.00;0.10;2.86;0.65;214.78;219.03;61.22;194.28;1.11;4.40;0.27;16.07;319.00;370.00;2.86;5.59;41.08;58.92;19.20;
SOIL_10666;455.00;510.00;338.00;386.00;439.00;508.00;473.00;411.00;461.00;537.00;0.07;1.47;0.59;177.60;238.61;65.43;210.92;0.84;2.50;0.25;9.95;317.00;368.00;1.47;3.30;60.26;39.74;31.19;
SOIL_10667;467.00;525.00;340.00;388.00;442.00;511.00;517.00;434.00;492.00;558.00;0.06;1.46;0.57;163.97;221.13;74.81;203.57;0.81;2.55;0.24;10.71;322.00;379.00;1.46;3.39;58.33;41.67;22.66;
SOIL_10670;463.00;519.00;344.00;394.00;447.00;513.00;498.00;423.00;481.00;552.00;0.05;1.09;0.55;150.63;234.91;66.45;208.82;0.72;2.00;0.23;8.73;323.00;380.00;1.09;2.78;65.98;34.02;29.78;
SOIL_10790;483.00;545.00;351.00;401.00;455.00;520.00;520.00;456.00;512.00;564.00;0.09;1.53;0.48;120.04;231.34;84.12;216.32;0.55;3.16;0.21;15.34;342.00;396.00;1.53;4.80;60.08;39.92;28.86;
SOIL_10791;490.00;553.00;358.00;408.00;463.00;525.00;529.00;465.00;520.00;569.00;0.10;1.64;0.49;120.79;222.46;88.19;212.18;0.57;3.36;0.21;16.34;348.00;402.00;1.64;5.28;63.84;36.16;33.67;
SOIL_10791BIS;489.00;552.00;357.00;408.00;463.00;525.00;527.00;466.00;520.00;570.00;0.10;1.60;0.48;120.52;226.47;87.41;214.65;0.56;3.30;0.21;16.01;346.00;400.00;1.60;5.22;64.32;35.68;33.42;
SOIL_10792;477.00;543.00;346.00;394.00;447.00;514.00;513.00;451.00;507.00;561.00;0.08;1.39;0.48;119.29;222.66;87.93;212.18;0.56;2.89;0.20;14.08;337.00;390.00;1.39;4.10;59.51;40.49;26.16;
SOIL_10793;479.00;543.00;348.00;396.00;452.00;518.00;517.00;454.00;510.00;563.00;0.08;1.58;0.50;130.50;224.02;89.75;214.21;0.61;3.13;0.21;14.58;341.00;394.00;1.58;4.58;57.49;42.51;25.24;
SOIL_10795;488.00;550.00;352.00;403.00;462.00;524.00;527.00;459.00;514.00;566.00;0.10;2.11;0.54;141.93;216.73;78.87;202.69;0.70;3.89;0.22;17.88;346.00;403.00;2.11;6.05;58.18;41.82;30.74;
SOIL_10796;484.00;548.00;350.00;398.00;456.00;521.00;525.00;457.00;514.00;565.00;0.08;1.52;0.49;123.14;223.63;86.04;211.81;0.58;3.08;0.21;14.86;344.00;397.00;1.52;4.65;60.41;39.59;29.94;
SOIL_10798;500.00;562.00;362.00;415.00;474.00;531.00;527.00;467.00;520.00;570.00;0.11;1.69;0.49;122.57;223.14;87.02;212.01;0.58;3.44;0.21;16.58;355.00;412.00;1.69;5.94;63.42;36.58;33.71;
SOIL_10927;456.00;516.00;342.00;389.00;441.00;510.00;460.00;411.00;466.00;539.00;0.05;1.60;0.59;172.39;216.84;67.60;196.33;0.88;2.70;0.24;11.19;323.00;371.00;1.60;3.62;57.62;42.38;27.64;
SOIL_10928;455.00;511.00;340.00;388.00;440.00;509.00;469.00;413.00;462.00;538.00;0.07;1.73;0.59;164.50;215.96;64.69;194.03;0.85;2.95;0.23;12.66;320.00;369.00;1.73;3.90;55.69;44.31;26.17;
SOIL_10929;459.00;516.00;340.00;388.00;441.00;509.00;459.00;407.00;463.00;538.00;0.06;1.60;0.58;166.10;229.18;63.14;202.76;0.82;2.76;0.24;11.60;323.00;374.00;1.60;3.76;56.43;43.57;26.70;
SOIL_10931;458.00;517.00;343.00;392.00;444.00;510.00;467.00;412.00;465.00;539.00;0.06;1.30;0.54;145.75;233.84;62.87;205.99;0.71;2.40;0.22;10.78;325.00;376.00;1.30;3.33;63.38;36.62;26.39;
SOIL_10932;456.00;511.00;339.00;387.00;440.00;510.00;532.00;420.00;473.00;554.00;0.07;2.35;0.64;172.71;185.31;54.63;165.99;1.04;3.69;0.23;16.39;317.00;366.00;2.35;4.75;52.74;47.26;29.56;
SOIL_10935;455.00;513.00;342.00;391.00;443.00;509.00;451.00;412.00;465.00;540.00;0.08;1.64;0.53;139.39;242.49;62.77;212.23;0.66;3.11;0.22;14.18;325.00;376.00;1.64;4.37;58.32;41.68;26.40;
SOIL_10938;466.00;527.00;347.00;396.00;449.00;513.00;485.00;425.00;487.00;549.00;0.07;1.59;0.49;123.60;251.22;68.66;221.94;0.56;3.25;0.21;15.52;333.00;386.00;1.59;4.80;55.38;44.62;19.37;
SOIL_10939;459.00;519.00;344.00;393.00;445.00;511.00;473.00;416.00;470.00;542.00;0.06;1.17;0.50;131.61;248.03;71.71;221.36;0.59;2.33;0.22;10.72;325.00;378.00;1.17;3.29;64.07;35.93;24.01;
SOIL_10939BIS;458.00;521.00;342.00;392.00;444.00;510.00;458.00;415.00;470.00;542.00;0.07;1.18;0.50;131.20;252.21;69.51;223.14;0.59;2.36;0.22;10.81;324.00;377.00;1.18;3.34;64.49;35.51;24.91;
SOIL_10944;460.00;518.00;347.00;396.00;447.00;510.00;465.00;420.00;468.00;532.00;0.08;1.35;0.48;125.90;251.00;76.04;226.00;0.56;2.79;0.22;12.91;329.00;382.00;1.35;3.99;58.16;41.84;20.95;
SOIL_10946;459.00;514.00;342.00;388.00;440.00;509.00;524.00;431.00;479.00;549.00;0.06;1.80;0.64;190.85;174.62;69.63;166.79;1.14;2.80;0.25;11.37;314.00;367.00;1.80;3.48;56.82;43.18;29.28;
SOIL_11222;508.00;566.00;371.00;424.00;481.00;534.00;528.00;462.00;515.00;571.00;0.08;1.12;0.49;128.84;221.40;87.00;210.73;0.61;2.27;0.22;10.46;359.00;420.00;1.12;4.52;74.09;25.91;25.66;
SOIL_11228;506.00;568.00;354.00;400.00;453.00;519.00;510.00;450.00;504.00;557.00;0.10;1.99;0.51;119.75;189.00;84.17;185.56;0.65;3.88;0.19;20.00;356.00;418.00;1.99;5.43;57.34;42.66;28.25;
SOIL_11240;506.00;564.00;359.00;406.00;461.00;525.00;526.00;452.00;507.00;561.00;0.08;1.42;0.50;126.09;215.12;88.71;207.14;0.61;2.85;0.21;13.61;359.00;419.00;1.42;4.47;65.29;34.71;32.90;
SOIL_11241;499.00;553.00;360.00;416.00;477.00;534.00;519.00;445.00;506.00;570.00;0.06;1.45;0.57;173.72;224.95;73.69;205.71;0.84;2.54;0.25;10.09;353.00;417.00;1.45;4.88;63.53;36.47;32.13;
SOIL_11242;488.00;552.00;353.00;400.00;454.00;519.00;509.00;436.00;499.00;549.00;0.05;0.82;0.49;118.24;210.51;76.30;196.69;0.60;1.67;0.20;8.34;348.00;403.00;0.82;2.56;70.76;29.24;19.01;
SOIL_11243;475.00;538.00;350.00;399.00;453.00;517.00;494.00;425.00;483.00;539.00;0.06;0.76;0.43;103.60;260.33;78.35;234.10;0.44;1.79;0.20;8.88;342.00;395.00;0.76;2.75;72.41;27.59;23.54;
SOIL_11244;503.00;560.00;360.00;409.00;465.00;527.00;519.00;450.00;507.00;560.00;0.09;1.45;0.49;121.44;229.01;78.18;211.23;0.57;2.97;0.21;14.36;356.00;417.00;1.45;5.09;65.76;34.24;32.39;
SOIL_11265;492.00;552.00;361.00;410.00;464.00;524.00;517.00;454.00;508.00;557.00;0.07;1.02;0.45;108.87;235.36;88.97;222.01;0.49;2.28;0.20;11.34;351.00;406.00;1.02;3.72;78.18;21.82;20.44;
SOIL_11266;481.00;531.00;350.00;399.00;454.00;519.00;476.00;432.00;485.00;542.00;0.10;3.32;0.62;190.73;224.28;63.12;199.18;0.96;5.40;0.26;21.01;337.00;400.00;3.32;7.88;48.24;51.76;26.29;
SOIL_11267;478.00;527.00;357.00;411.00;468.00;526.00;486.00;434.00;493.00;548.00;0.10;1.83;0.54;160.20;271.35;59.74;231.48;0.69;3.43;0.25;13.79;344.00;402.00;1.83;6.03;61.26;38.74;31.85;
SOIL_11269;485.00;538.00;349.00;396.00;453.00;521.00;494.00;437.00;494.00;543.00;0.09;1.82;0.53;135.32;229.47;63.99;203.45;0.67;3.45;0.21;16.20;351.00;408.00;1.82;5.37;54.10;45.90;21.13;
SOIL_11269BIS;485.00;539.00;352.00;401.00;457.00;522.00;495.00;439.00;496.00;545.00;0.09;1.82;0.53;135.86;230.24;64.27;204.18;0.67;3.45;0.21;16.16;351.00;408.00;1.82;5.39;56.43;43.57;25.68;
SOIL_11274;500.00;556.00;365.00;420.00;480.00;535.00;521.00;461.00;516.00;572.00;0.08;1.39;0.53;146.66;231.57;77.62;212.77;0.69;2.64;0.23;11.41;356.00;417.00;1.39;5.22;68.29;31.71;28.01;
SOIL_11275;503.00;559.00;363.00;415.00;474.00;532.00;522.00;455.00;512.00;566.00;0.09;1.49;0.52;138.09;225.66;76.69;207.94;0.66;2.87;0.22;13.02;360.00;420.00;1.49;5.27;64.02;35.98;30.38;
SOIL_11276;500.00;553.00;357.00;407.00;465.00;528.00;505.00;444.00;504.00;558.00;0.10;2.06;0.54;142.39;222.86;64.65;199.03;0.72;3.81;0.22;17.44;362.00;422.00;2.06;6.53;59.00;41.00;31.64;
SOIL_11277;499.00;558.00;351.00;396.00;452.00;522.00;518.00;458.00;510.00;560.00;0.09;1.73;0.51;128.43;205.68;86.20;198.84;0.65;3.36;0.21;16.20;349.00;410.00;1.73;4.96;57.74;42.26;28.91;
SOIL_11278;505.00;562.00;363.00;414.00;471.00;531.00;523.00;457.00;512.00;563.00;0.10;1.52;0.50;117.70;216.58;70.77;197.95;0.59;3.07;0.20;15.58;363.00;424.00;1.52;5.48;66.67;33.33;33.15;
SOIL_11292;501.00;558.00;356.00;405.00;462.00;525.00;517.00;446.00;504.00;557.00;0.10;1.62;0.48;111.68;227.33;66.93;203.58;0.55;3.40;0.19;17.51;360.00;419.00;1.62;5.75;63.81;36.19;31.94;
SOIL_11293;493.00;548.00;352.00;402.00;461.00;527.00;510.00;438.00;499.00;556.00;0.08;1.77;0.54;151.53;232.74;70.76;209.70;0.72;3.27;0.23;14.04;350.00;411.00;1.77;5.60;58.48;41.52;26.16;
SOIL_11294;503.00;562.00;355.00;403.00;462.00;526.00;515.00;450.00;507.00;558.00;0.10;1.37;0.46;109.47;232.46;73.53;211.08;0.52;2.96;0.20;15.04;361.00;420.00;1.37;5.08;65.58;34.42;31.52;
SOIL_11295;494.00;552.00;350.00;401.00;467.00;531.00;510.00;436.00;498.00;557.00;0.08;1.27;0.49;128.51;244.96;71.17;218.82;0.59;2.61;0.22;11.95;353.00;412.00;1.27;4.90;64.44;35.56;22.16;
SOIL_11302;473.00;531.00;341.00;389.00;444.00;515.00;457.00;418.00;463.00;535.00;0.05;0.67;0.52;134.00;223.93;69.07;202.33;0.66;1.29;0.21;6.00;332.00;392.00;0.67;1.86;72.05;27.95;32.60;
SOIL_11303;504.00;564.00;356.00;403.00;458.00;524.00;515.00;453.00;506.00;560.00;0.09;1.81;0.52;135.88;203.35;94.29;201.77;0.67;3.49;0.22;16.08;353.00;414.00;1.81;5.30;59.73;40.27;30.88;
SOIL_11304;500.00;556.00;356.00;407.00;467.00;530.00;512.00;450.00;506.00;564.00;0.08;1.49;0.53;150.22;226.67;89.42;215.95;0.70;2.82;0.24;11.95;349.00;413.00;1.49;4.90;66.04;33.96;29.16;
SOIL_11498;501.00;561.00;350.00;397.00;453.00;521.00;510.00;443.00;501.00;552.00;0.09;1.79;0.51;127.43;209.97;78.87;197.77;0.64;3.48;0.21;16.89;355.00;417.00;1.79;5.20;56.01;43.99;23.79;
SOIL_11498BIS;502.00;562.00;352.00;400.00;454.00;521.00;512.00;443.00;502.00;552.00;0.09;1.81;0.52;128.56;211.30;78.39;198.47;0.65;3.52;0.21;17.01;355.00;417.00;1.81;5.24;55.52;44.48;23.61;
SOIL_11499;503.00;562.00;361.00;409.00;462.00;524.00;528.00;460.00;513.00;562.00;0.09;1.31;0.47;112.43;221.72;87.44;211.22;0.53;2.81;0.20;14.06;359.00;417.00;1.31;4.43;67.57;32.43;32.25;
SOIL_11500;502.00;559.00;354.00;402.00;456.00;523.00;508.00;443.00;502.00;554.00;0.10;1.80;0.50;126.19;223.81;77.60;207.11;0.61;3.59;0.21;17.21;359.00;420.00;1.80;5.55;57.54;42.46;25.69;
SOIL_11501;507.00;564.00;361.00;410.00;466.00;527.00;521.00;456.00;511.00;563.00;0.10;1.86;0.53;138.48;212.50;79.84;200.17;0.69;3.51;0.22;16.20;365.00;427.00;1.86;5.60;59.86;40.14;32.16;
SOIL_11502;501.00;557.00;353.00;401.00;456.00;521.00;510.00;449.00;505.00;557.00;0.11;2.12;0.52;134.55;217.82;77.18;202.51;0.66;4.06;0.21;19.03;357.00;417.00;2.12;6.10;56.10;43.90;27.61;
SOIL_11503;503.00;557.00;360.00;410.00;465.00;526.00;527.00;451.00;508.00;562.00;0.11;2.31;0.54;142.89;215.35;75.31;199.65;0.72;4.26;0.22;19.48;362.00;424.00;2.31;6.88;59.06;40.94;32.97;
SOIL_11504;493.00;544.00;357.00;408.00;465.00;526.00;507.00;443.00;503.00;559.00;0.09;2.18;0.56;158.55;223.13;66.32;200.17;0.79;3.86;0.23;16.55;356.00;417.00;2.18;6.41;55.72;44.28;29.41;
SOIL_11506;489.00;540.00;355.00;406.00;462.00;525.00;515.00;446.00;502.00;561.00;0.09;2.29;0.59;166.16;210.89;59.24;187.22;0.89;3.87;0.23;16.63;351.00;410.00;2.29;6.27;53.49;46.51;28.39;
SOIL_11508;490.00;544.00;359.00;410.00;466.00;527.00;503.00;450.00;505.00;556.00;0.09;1.80;0.55;151.01;226.66;67.07;203.17;0.74;3.26;0.23;14.33;354.00;412.00;1.80;5.40;60.75;39.25;30.87;
SOIL_11516;508.00;567.00;366.00;417.00;473.00;531.00;532.00;459.00;512.00;566.00;0.11;1.32;0.47;119.42;222.53;87.88;212.06;0.56;2.79;0.21;13.35;355.00;418.00;1.32;4.98;66.12;33.88;31.99;
SOIL_11517;503.00;560.00;360.00;412.00;471.00;530.00;527.00;453.00;511.00;568.00;0.08;1.62;0.55;157.62;222.17;82.44;208.69;0.76;2.94;0.24;12.37;356.00;420.00;1.62;5.08;62.15;37.85;29.61;
SOIL_11518;483.00;541.00;355.00;404.00;457.00;520.00;508.00;445.00;501.00;551.00;0.08;1.24;0.47;119.26;258.90;75.77;231.59;0.51;2.65;0.21;12.49;345.00;402.00;1.24;4.21;64.02;35.98;24.13;
SOIL_11520;500.00;566.00;360.00;407.00;459.00;522.00;521.00;456.00;510.00;560.00;0.08;0.62;0.37;90.54;245.97;108.88;241.10;0.38;1.66;0.20;8.24;347.00;405.00;0.62;2.76;81.24;18.76;17.56;
SOIL_11521;502.00;563.00;360.00;408.00;461.00;524.00;518.00;453.00;507.00;556.00;0.09;1.09;0.42;96.10;221.53;88.71;211.80;0.45;2.56;0.19;13.63;355.00;414.00;1.09;4.17;77.29;22.71;23.21;
SOIL_11521BIS;504.00;565.00;361.00;408.00;461.00;524.00;515.00;455.00;510.00;558.00;0.08;1.10;0.43;96.36;220.40;87.90;210.52;0.46;2.56;0.19;13.71;357.00;415.00;1.10;4.17;77.32;22.68;23.13;
