Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;473.00;504.00;436.00;484.00;524.00;551.00;534.00;472.00;522.00;572.00;0.30;10.25;0.94;377.11;24.46;9.22;23.06;16.35;10.87;0.33;32.76;407.00;437.00;10.25;12.93;47.27;52.73;44.46;;;
IFP 160K_02;473.00;504.00;433.00;482.00;522.00;551.00;533.00;471.00;522.00;572.00;0.29;10.08;0.94;369.36;25.40;10.37;24.40;15.14;10.73;0.33;32.91;407.00;437.00;10.08;12.87;47.27;52.73;44.46;;;VERSION INFORMATION:
IFP 160K_03;473.00;503.00;434.00;482.00;523.00;551.00;536.00;472.00;522.00;572.00;0.30;10.11;0.94;370.09;25.36;10.08;24.21;15.29;10.78;0.33;33.01;407.00;437.00;10.11;12.35;47.27;52.73;44.46;;;
IFP 160K_04;474.00;504.00;430.00;479.00;520.00;551.00;535.00;471.00;521.00;572.00;0.30;10.19;0.94;373.44;26.44;11.67;25.90;14.42;10.86;0.33;32.90;407.00;437.00;10.19;12.97;47.27;52.73;44.46;;;Geoworks V1.6R2
IFP 160K_05;474.00;504.00;433.00;482.00;522.00;551.00;535.00;471.00;521.00;572.00;0.29;10.04;0.94;368.43;25.33;9.86;24.06;15.32;10.68;0.32;32.85;407.00;437.00;10.04;12.81;47.27;52.73;44.46;;;
IFP 160K_05BIS;474.00;504.00;434.00;481.00;521.00;550.00;518.00;469.00;515.00;566.00;0.28;10.38;0.94;382.50;24.14;10.51;23.56;16.24;11.01;0.34;32.71;408.00;438.00;10.38;13.07;47.31;52.69;44.52;;;PARTYsoc V2.0
IFP 160K_06;475.00;505.00;442.00;487.00;524.00;551.00;522.00;468.00;514.00;565.00;0.28;10.29;0.94;376.90;21.78;10.70;21.95;17.17;10.90;0.33;32.91;409.00;439.00;10.29;12.96;47.49;52.51;44.30;;;Cécillon et al,2021
IFP 160K_07;475.00;505.00;435.00;482.00;521.00;550.00;520.00;469.00;515.00;566.00;0.28;10.32;0.94;378.04;23.46;10.26;22.92;16.49;10.95;0.33;32.91;410.00;440.00;10.32;13.02;47.49;52.51;44.30;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP 160K_08;475.00;505.00;434.00;481.00;520.00;550.00;520.00;469.00;515.00;566.00;0.29;10.17;0.94;372.10;23.70;10.83;23.43;15.88;10.81;0.33;32.94;408.00;439.00;10.17;12.90;47.49;52.51;44.30;
IFP 160K_08BIS;472.00;503.00;436.00;485.00;524.00;551.00;534.00;471.00;521.00;572.00;0.29;10.14;0.94;370.34;23.94;9.43;22.80;16.24;10.77;0.33;33.01;406.00;436.00;10.14;12.84;47.27;52.73;44.46;
