Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;473.00;503.00;434.00;482.00;522.00;551.00;532.00;472.00;522.00;573.00;0.29;10.31;0.94;374.86;23.57;10.00;22.86;16.40;10.94;0.33;33.16;406.00;436.00;10.31;13.00;47.27;52.73;44.46;;;
IFP 160K_02;474.00;505.00;432.00;479.00;519.00;550.00;535.00;471.00;521.00;572.00;0.29;10.28;0.94;371.66;24.98;10.38;24.10;15.42;10.92;0.33;33.33;408.00;438.00;10.28;13.06;47.45;52.55;44.30;;;VERSION INFORMATION:
IFP 160K_03;475.00;505.00;433.00;479.00;520.00;550.00;533.00;471.00;521.00;572.00;0.30;10.30;0.94;373.69;25.12;10.02;24.00;15.57;10.94;0.33;33.22;408.00;438.00;10.30;13.04;47.45;52.55;44.25;;;
IFP 160K_04;474.00;505.00;432.00;479.00;520.00;550.00;533.00;472.00;522.00;573.00;0.29;10.21;0.94;370.97;25.05;11.38;24.72;15.01;10.86;0.33;33.18;407.00;438.00;10.21;12.97;47.46;52.54;44.26;;;Geoworks V1.6R2
IFP 160K_05;474.00;505.00;433.00;479.00;521.00;550.00;536.00;471.00;521.00;572.00;0.30;10.23;0.94;374.04;25.02;10.29;24.08;15.54;10.89;0.33;32.98;407.00;437.00;10.23;13.01;47.46;52.54;44.26;;;
SOIL_11599;469.00;530.00;346.00;395.00;449.00;515.00;501.00;434.00;493.00;552.00;0.06;1.23;0.48;121.95;245.12;84.29;226.44;0.54;2.59;0.21;12.20;332.00;386.00;1.23;3.82;60.04;39.96;14.33;;;PARTYsoc V2.0
SOIL_11600;474.00;534.00;350.00;397.00;451.00;517.00;506.00;440.00;499.00;556.00;0.06;1.34;0.49;124.96;242.03;79.92;221.69;0.56;2.74;0.21;12.88;336.00;391.00;1.34;4.06;56.69;43.31;14.54;;;Cécillon et al,2021
SOIL_11603;479.00;540.00;353.00;403.00;458.00;521.00;513.00;443.00;503.00;559.00;0.09;1.40;0.50;132.41;247.38;74.46;222.46;0.60;2.79;0.22;12.73;336.00;394.00;1.40;4.34;61.97;38.03;26.48;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
SOIL_11604;479.00;538.00;353.00;406.00;463.00;524.00;516.00;442.00;503.00;560.00;0.08;1.60;0.52;142.37;249.59;76.36;225.16;0.63;3.10;0.23;13.57;338.00;395.00;1.60;5.19;60.57;39.43;29.27;
SOIL_11605;477.00;540.00;351.00;400.00;455.00;519.00;510.00;440.00;500.00;557.00;0.07;1.28;0.49;127.47;244.09;77.76;221.95;0.57;2.61;0.21;12.13;336.00;393.00;1.28;3.97;60.87;39.13;14.30;
SOIL_11653;474.00;537.00;350.00;398.00;451.00;516.00;509.00;435.00;495.00;553.00;0.06;1.27;0.48;119.98;239.98;75.12;217.46;0.55;2.64;0.21;12.78;338.00;392.00;1.27;3.94;59.02;40.98;13.29;
SOIL_11654;474.00;535.00;349.00;398.00;452.00;517.00;503.00;437.00;497.00;554.00;0.06;1.30;0.48;122.87;248.31;80.91;226.82;0.54;2.72;0.21;12.79;337.00;392.00;1.30;4.05;57.26;42.74;13.65;
SOIL_11655;473.00;536.00;347.00;395.00;449.00;515.00;498.00;433.00;493.00;553.00;0.06;1.35;0.49;122.07;233.69;73.43;211.91;0.58;2.73;0.20;13.31;334.00;390.00;1.35;3.92;56.14;43.86;14.04;
SOIL_11656;476.00;539.00;349.00;397.00;451.00;516.00;501.00;439.00;500.00;555.00;0.07;1.39;0.48;119.04;237.53;76.72;216.59;0.55;2.88;0.20;14.05;338.00;394.00;1.39;4.17;56.17;43.83;16.27;
SOIL_11657;477.00;537.00;350.00;400.00;453.00;517.00;511.00;438.00;500.00;556.00;0.07;1.43;0.49;125.90;245.26;75.04;221.25;0.57;2.90;0.21;13.67;339.00;395.00;1.43;4.34;55.40;44.60;14.79;
SOIL_11659;476.00;540.00;348.00;397.00;451.00;516.00;501.00;436.00;497.00;554.00;0.07;1.34;0.48;118.75;234.33;74.03;212.73;0.56;2.77;0.20;13.65;336.00;392.00;1.34;4.05;56.40;43.60;14.82;
SOIL_11660;474.00;535.00;348.00;398.00;453.00;518.00;502.00;434.00;494.00;554.00;0.07;1.36;0.49;126.18;243.67;74.43;219.75;0.57;2.76;0.21;13.03;334.00;390.00;1.36;4.19;56.12;43.88;13.61;
SOIL_11703;465.00;516.00;347.00;398.00;450.00;514.00;462.00;423.00;473.00;544.00;0.09;1.54;0.54;130.30;213.87;58.87;189.18;0.69;2.87;0.20;14.24;332.00;391.00;1.54;4.03;57.57;42.43;25.25;
SOIL_11703BIS;465.00;515.00;347.00;398.00;450.00;514.00;467.00;424.00;474.00;545.00;0.09;1.52;0.53;129.58;214.56;61.11;190.96;0.68;2.85;0.20;14.16;332.00;391.00;1.52;3.98;58.00;42.00;25.12;
SOIL_11760;481.00;540.00;354.00;403.00;458.00;521.00;511.00;446.00;505.00;558.00;0.06;1.00;0.46;115.45;249.51;83.42;229.13;0.50;2.17;0.21;10.40;341.00;394.00;1.00;3.44;74.19;25.81;23.67;
SOIL_11761;490.00;546.00;361.00;412.00;469.00;527.00;527.00;465.00;518.00;567.00;0.10;1.28;0.43;108.38;264.34;96.14;247.19;0.44;3.01;0.21;14.25;352.00;404.00;1.28;5.05;67.57;32.43;32.51;
SOIL_11762;482.00;537.00;358.00;411.00;468.00;526.00;516.00;455.00;512.00;563.00;0.09;1.31;0.45;115.61;267.02;88.69;244.87;0.47;2.93;0.22;13.64;343.00;397.00;1.31;4.98;66.32;33.68;32.35;
SOIL_11763;487.00;540.00;361.00;416.00;473.00;530.00;515.00;456.00;512.00;563.00;0.11;1.71;0.46;117.55;264.90;80.29;238.54;0.49;3.74;0.21;17.52;348.00;402.00;1.71;6.77;63.33;36.67;33.42;
SOIL_11766;479.00;538.00;355.00;405.00;459.00;522.00;520.00;449.00;508.00;560.00;0.06;1.00;0.46;119.71;258.94;89.62;239.53;0.50;2.19;0.22;10.06;342.00;394.00;1.00;3.51;75.64;24.36;24.13;
SOIL_11767;487.00;541.00;360.00;413.00;472.00;528.00;515.00;456.00;512.00;563.00;0.11;1.79;0.46;120.13;254.37;82.41;232.09;0.52;3.84;0.21;17.91;346.00;401.00;1.79;6.83;63.44;36.56;33.32;
SOIL_11768;489.00;545.00;361.00;413.00;470.00;527.00;525.00;466.00;520.00;569.00;0.09;1.67;0.46;110.83;236.89;83.50;220.00;0.50;3.64;0.20;18.15;349.00;403.00;1.67;6.30;64.79;35.21;33.76;
SOIL_11769;492.00;546.00;362.00;415.00;472.00;529.00;519.00;465.00;518.00;567.00;0.09;1.35;0.44;109.57;258.53;88.00;238.31;0.46;3.08;0.21;14.87;351.00;406.00;1.35;5.45;66.57;33.43;32.84;
SOIL_11776;483.00;538.00;350.00;399.00;455.00;519.00;518.00;457.00;511.00;562.00;0.07;1.79;0.52;138.29;232.24;83.20;216.44;0.64;3.45;0.22;15.63;338.00;395.00;1.79;5.01;56.39;43.61;26.73;
SOIL_11778;478.00;534.00;353.00;403.00;459.00;522.00;516.00;447.00;505.00;558.00;0.07;1.26;0.48;126.21;252.08;80.59;229.39;0.55;2.61;0.22;12.02;339.00;392.00;1.26;4.16;69.00;31.00;26.45;
SOIL_11779;483.00;541.00;358.00;409.00;465.00;525.00;528.00;462.00;515.00;564.00;0.07;0.98;0.42;106.34;274.62;92.93;252.82;0.42;2.36;0.21;11.16;344.00;396.00;0.98;3.98;77.05;22.95;22.86;
