Analyse;T10_HC_PYR;T30_HC_PYR;T50_HC_PYR;T70_HC_PYR;T90_HC_PYR;T10_CO2_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T10_CO_PYR;T30_CO_PYR;T50_CO_PYR;T70_CO_PYR;T90_CO_PYR;T10_CO_OX;T30_CO_OX;T50_CO_OX;T70_CO_OX;T90_CO_OX;T10_CO2_OX;T30_CO2_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIre6;HI_OIre6;PC;PC_TOCre6;TOCre6;MINC;
SOIL_10491;323.00;374.00;418.00;461.00;518.00;287.00;341.00;391.00;446.00;518.00;316.00;361.00;404.00;458.00;523.00;317.00;353.00;380.00;421.00;520.00;336.00;379.00;413.00;457.00;527.00;0.12;3.12;0.61;205.09;256.32;64.23;223.12;0.92;5.10;0.28;18.32;2.98;
SOIL_1099;354.00;410.00;456.00;499.00;561.00;293.00;349.00;399.00;456.00;523.00;326.00;377.00;419.00;467.00;525.00;333.00;395.00;472.00;523.00;583.00;345.00;400.00;455.00;510.00;559.00;0.07;1.00;0.42;98.92;235.48;90.29;222.85;0.44;2.38;0.19;12.23;1.71 
SOIL_11741;320.00;376.00;416.00;455.00;513.00;288.00;341.00;393.00;446.00;512.00;319.00;366.00;411.00;463.00;525.00;332.00;377.00;413.00;471.00;543.00;342.00;386.00;420.00;466.00;532.00;0.05;0.94;0.49;129.65;250.14;75.66;225.15;0.58;1.90;0.22;8.69;0.10;
SOIL_1176;347.00;411.00;456.00;496.00;555.00;293.00;347.00;397.00;454.00;521.00;323.00;372.00;416.00;465.00;522.00;337.00;394.00;459.00;514.00;570.00;346.00;400.00;452.00;507.00;558.00;0.07;1.89;0.53;136.11;211.14;77.02;197.57;0.69;3.56;0.21;16.72;3.73; 
SOIL_18566;325.00;382.00;425.00;465.00;524.00;285.00;342.00;392.00;446.00;512.00;320.00;368.00;411.00;462.00;525.00;347.00;393.00;433.00;488.00;548.00;352.00;397.00;433.00;483.00;540.00;0.07;1.13;0.48;124.31;236.96;83.11;219.82;0.57;2.33;0.21;10.96;0.11; 
SOIL_24334;344.00;408.00;452.00;487.00;537.00;291.00;347.00;404.00;465.00;528.00;321.00;372.00;419.00;469.00;527.00;321.00;372.00;435.00;511.00;737.00;342.00;392.00;439.00;500.00;559.00;0.07;1.48;0.55;163.65;252.21;61.82;218.75;0.75;2.69;0.25;10.88;10.04; 
SOIL_24334BIS;343.00;408.00;451.00;486.00;537.00;290.00;347.00;404.00;465.00;528.00;319.00;371.00;418.00;469.00;527.00;319.00;371.00;437.00;513.00;765.00;341.00;392.00;439.00;500.00;559.00;0.07;1.48;0.55;162.69;252.05;59.89;217.53;0.75;2.70;0.25;10.98;10.05;
SOIL_4883;357.00;423.00;465.00;503.00;563.00;287.00;339.00;385.00;441.00;514.00;326.00;373.00;416.00;466.00;524.00;349.00;406.00;466.00;514.00;564.00;353.00;406.00;458.00;510.00;559.00;0.13;4.13;0.61;172.40;183.88;79.64;179.24;0.96;6.78;0.24;28.86;0.62;
