Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;472.00;503.00;437.00;488.00;526.00;551.00;516.00;465.00;512.00;564.00;0.29;10.26;0.94;376.74;25.27;9.18;23.63;15.95;10.88;0.33;32.82;405.00;436.00;10.26;12.95;47.25;52.75;44.38;;;
IFP 160K_02;474.00;505.00;432.00;481.00;521.00;551.00;514.00;467.00;514.00;565.00;0.30;10.16;0.94;369.92;28.29;10.13;26.36;14.03;10.83;0.33;33.12;406.00;437.00;10.16;13.00;47.44;52.56;44.17;;;VERSION INFORMATION:
IFP 160K_03;475.00;506.00;431.00;480.00;521.00;550.00;512.00;467.00;514.00;565.00;0.30;10.09;0.94;366.36;28.32;9.96;26.29;13.94;10.74;0.32;33.20;407.00;439.00;10.09;12.92;47.57;52.43;43.99;;;
IFP 160K_04;474.00;505.00;434.00;484.00;524.00;551.00;513.00;466.00;513.00;564.00;0.32;10.04;0.94;365.67;28.31;10.03;26.32;13.89;10.72;0.32;33.11;405.00;437.00;10.04;12.97;47.44;52.56;44.17;;;Geoworks V1.6R2
IFP 160K_05;474.00;504.00;436.00;483.00;522.00;550.00;516.00;470.00;516.00;566.00;0.29;10.31;0.94;377.72;24.25;10.58;23.69;15.95;10.94;0.33;32.91;408.00;438.00;10.31;13.00;47.25;52.75;44.38;;;
IFP 160K_05BIS;475.00;505.00;435.00;482.00;521.00;550.00;518.00;469.00;515.00;566.00;0.28;10.17;0.94;369.79;24.40;11.11;24.09;15.35;10.80;0.33;33.15;409.00;439.00;10.17;12.91;47.49;52.51;44.30;;;PARTYsoc V2.0
IFP 160K_06;476.00;506.00;434.00;481.00;519.00;549.00;520.00;470.00;515.00;566.00;0.29;10.22;0.94;372.10;23.22;10.40;22.83;16.30;10.86;0.33;33.12;409.00;440.00;10.22;12.93;47.65;52.35;44.15;;;Cécillon et al,2021
IFP 160K_07;474.00;504.00;435.00;482.00;521.00;550.00;519.00;469.00;514.00;566.00;0.31;10.08;0.94;366.91;24.04;10.64;23.56;15.57;10.75;0.32;33.14;408.00;438.00;10.08;12.91;47.31;52.69;44.52;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP 160K_08;475.00;506.00;433.00;480.00;520.00;549.00;519.00;469.00;514.00;566.00;0.30;10.15;0.94;367.27;24.00;10.90;23.69;15.50;10.81;0.32;33.31;409.00;439.00;10.15;12.93;47.64;52.36;44.19;
IFP 160K_09;475.00;506.00;431.00;479.00;520.00;550.00;514.00;467.00;514.00;565.00;0.32;10.16;0.94;366.97;28.48;9.78;26.30;13.95;10.84;0.32;33.38;407.00;438.00;10.16;13.02;47.56;52.44;44.04;
IFP 160K_10;475.00;507.00;431.00;479.00;520.00;550.00;515.00;467.00;514.00;566.00;0.32;10.34;0.94;371.23;29.01;10.23;26.94;13.78;11.03;0.33;33.58;408.00;439.00;10.34;13.27;48.37;51.63;43.22;
SOIL_11668;468.00;532.00;341.00;391.00;445.00;512.00;478.00;420.00;476.00;537.00;0.09;0.99;0.47;123.72;281.02;70.35;244.58;0.51;2.11;0.22;9.63;330.00;384.00;0.99;3.11;65.91;34.09;25.70;
SOIL_11669;465.00;529.00;340.00;390.00;444.00;513.00;481.00;419.00;473.00;535.00;0.07;0.97;0.48;123.96;257.66;71.52;228.25;0.54;2.01;0.21;9.43;326.00;381.00;0.97;2.91;66.70;33.30;24.71;
SOIL_11671;467.00;527.00;340.00;390.00;444.00;512.00;478.00;421.00;476.00;536.00;0.10;1.36;0.50;134.81;272.20;69.79;237.84;0.57;2.73;0.22;12.14;330.00;385.00;1.36;3.96;58.02;41.98;17.44;
SOIL_11673;467.00;528.00;341.00;391.00;446.00;513.00;486.00;420.00;477.00;539.00;0.08;1.09;0.48;124.46;272.41;68.03;236.99;0.53;2.28;0.22;10.54;330.00;385.00;1.09;3.43;65.01;34.99;24.60;
SOIL_11675;465.00;528.00;339.00;389.00;442.00;509.00;488.00;421.00;475.00;536.00;0.08;0.86;0.45;125.24;310.86;71.51;266.94;0.47;1.91;0.23;8.30;328.00;383.00;0.86;2.79;68.51;31.49;22.01;
SOIL_11676;462.00;524.00;338.00;388.00;443.00;509.00;463.00;414.00;469.00;532.00;0.09;1.01;0.44;119.42;310.63;72.22;267.19;0.45;2.30;0.22;10.24;329.00;382.00;1.01;3.37;65.39;34.61;24.77;
SOIL_11678;463.00;527.00;337.00;387.00;441.00;510.00;472.00;416.00;468.00;532.00;0.07;0.91;0.48;126.17;265.93;72.07;234.59;0.54;1.89;0.22;8.73;325.00;379.00;0.91;2.71;67.94;32.06;24.10;
SOIL_11684;465.00;530.00;337.00;387.00;441.00;509.00;471.00;419.00;475.00;536.00;0.10;0.83;0.39;107.32;342.55;77.10;293.19;0.37;2.09;0.23;9.26;331.00;383.00;0.83;3.14;67.31;32.69;21.46;
SOIL_18042;474.00;542.00;340.00;390.00;445.00;512.00;492.00;434.00;487.00;541.00;0.09;0.92;0.42;104.69;281.81;76.84;248.86;0.42;2.17;0.21;10.55;332.00;387.00;0.92;3.17;66.95;33.05;24.23;
