Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
SOIL_10728;468.00;517.00;356.00;411.00;467.00;527.00;487.00;428.00;498.00;555.00;0.15;2.60;0.51;156.39;313.67;70.50;268.41;0.58;5.11;0.26;20.03;348.00;399.00;2.60;8.51;60.12;39.88;36.00;
SOIL_10730;466.00;517.00;352.00;405.00;461.00;522.00;495.00;430.00;495.00;554.00;0.13;3.19;0.57;168.90;250.96;64.58;219.42;0.77;5.60;0.25;22.77;334.00;389.00;3.19;8.65;53.83;46.17;31.76;
SOIL_10731;474.00;527.00;353.00;407.00;468.00;530.00;495.00;433.00;499.00;556.00;0.12;2.13;0.52;141.61;258.68;68.35;227.19;0.62;4.10;0.23;18.09;346.00;399.00;2.13;6.80;58.38;41.62;30.92;
SOIL_10732;455.00;507.00;346.00;399.00;454.00;519.00;458.00;412.00;472.00;543.00;0.09;1.62;0.48;135.47;294.72;74.53;256.93;0.53;3.37;0.23;14.40;330.00;383.00;1.62;5.22;60.06;39.94;28.34;
SOIL_10733;465.00;516.00;352.00;406.00;460.00;522.00;491.00;430.00;496.00;553.00;0.11;1.94;0.48;136.67;304.01;73.24;262.95;0.52;4.05;0.24;17.13;340.00;394.00;1.94;6.46;60.65;39.35;31.64;
SOIL_10736;461.00;513.00;348.00;400.00;454.00;517.00;487.00;426.00;488.00;549.00;0.08;1.69;0.50;137.16;274.23;71.42;240.26;0.57;3.39;0.23;14.85;333.00;387.00;1.69;5.15;57.13;42.87;23.38;
SOIL_10738;457.00;510.00;345.00;397.00;452.00;516.00;492.00;423.00;483.00;547.00;0.07;1.18;0.45;120.17;300.51;74.98;261.40;0.46;2.63;0.22;11.79;331.00;385.00;1.18;4.09;66.79;33.21;24.83;
SOIL_10739;457.00;510.00;345.00;399.00;451.00;515.00;456.00;414.00;469.00;540.00;0.08;0.95;0.40;113.53;357.93;78.58;305.22;0.37;2.38;0.24;10.07;334.00;387.00;0.95;3.82;71.65;28.35;27.66;
SOIL_10741;474.00;527.00;359.00;416.00;473.00;530.00;502.00;434.00;500.00;559.00;0.10;1.92;0.52;146.69;262.42;65.92;228.52;0.64;3.66;0.23;15.76;343.00;398.00;1.92;6.63;59.57;40.43;32.34;
SOIL_10742;467.00;518.00;350.00;403.00;457.00;518.00;488.00;432.00;493.00;552.00;0.10;2.25;0.53;151.75;272.41;66.83;236.30;0.64;4.24;0.24;17.85;335.00;391.00;2.25;6.46;56.87;43.13;28.01;
SOIL_10743;459.00;506.00;346.00;398.00;451.00;515.00;455.00;415.00;473.00;544.00;0.08;1.57;0.53;150.68;264.80;64.65;229.53;0.66;2.95;0.23;12.58;338.00;389.00;1.57;4.25;59.59;40.41;26.14;
SOIL_10895;469.00;526.00;343.00;391.00;449.00;519.00;508.00;434.00;495.00;554.00;0.05;1.21;0.50;127.24;239.25;77.65;218.37;0.58;2.44;0.21;11.49;336.00;389.00;1.21;3.70;61.39;38.61;17.30;
SOIL_10895BIS;468.00;526.00;347.00;396.00;451.00;517.00;508.00;435.00;496.00;555.00;0.05;1.24;0.50;128.63;244.64;77.63;222.28;0.58;2.49;0.22;11.60;335.00;388.00;1.24;3.77;60.15;39.85;15.85;
SOIL_10896;473.00;528.00;351.00;403.00;459.00;521.00;508.00;439.00;501.00;557.00;0.06;1.33;0.51;135.43;247.76;71.58;221.09;0.61;2.58;0.22;11.79;337.00;391.00;1.33;4.10;64.74;35.26;25.64;
SOIL_10898;467.00;526.00;346.00;395.00;449.00;515.00;505.00;434.00;495.00;553.00;0.05;0.96;0.46;111.58;247.72;77.72;224.57;0.50;2.11;0.20;10.40;335.00;387.00;0.96;3.12;67.50;32.50;25.22;
SOIL_10899;466.00;525.00;345.00;394.00;448.00;514.00;499.00;435.00;494.00;552.00;0.05;1.05;0.46;114.65;249.30;79.18;226.56;0.51;2.27;0.21;11.04;331.00;384.00;1.05;3.29;65.89;34.11;23.87;
SOIL_10900;466.00;525.00;347.00;396.00;450.00;515.00;495.00;433.00;492.00;551.00;0.06;1.35;0.50;125.38;237.21;78.74;217.51;0.58;2.72;0.21;12.95;332.00;386.00;1.35;3.90;56.65;43.35;15.47;
SOIL_10901;467.00;527.00;346.00;396.00;450.00;515.00;504.00;436.00;495.00;553.00;0.05;1.07;0.46;113.28;250.87;78.00;227.02;0.50;2.33;0.21;11.35;332.00;385.00;1.07;3.45;65.68;34.32;23.83;
SOIL_10903;467.00;527.00;344.00;394.00;449.00;515.00;498.00;434.00;492.00;551.00;0.06;1.07;0.45;110.73;245.12;84.04;226.29;0.49;2.37;0.20;11.68;332.00;385.00;1.07;3.47;65.88;34.12;24.52;
SOIL_10905;469.00;529.00;347.00;396.00;450.00;516.00;511.00;436.00;495.00;554.00;0.05;0.97;0.47;116.31;241.00;80.15;221.07;0.53;2.05;0.21;10.00;336.00;388.00;0.97;3.02;66.76;33.24;23.67;
SOIL_10906;463.00;521.00;345.00;394.00;448.00;514.00;492.00;431.00;489.00;551.00;0.06;1.22;0.49;125.05;241.60;80.23;221.55;0.56;2.49;0.21;11.74;329.00;382.00;1.22;3.56;61.32;38.68;17.81;
SOIL_10907;460.00;521.00;342.00;391.00;446.00;514.00;495.00;428.00;485.00;549.00;0.05;1.16;0.51;132.63;235.66;78.74;216.39;0.61;2.28;0.22;10.51;323.00;377.00;1.16;3.23;62.45;37.55;20.91;
SOIL_10911;458.00;513.00;340.00;390.00;444.00;511.00;474.00;413.00;466.00;540.00;0.06;1.25;0.52;139.22;256.11;66.08;224.02;0.62;2.41;0.22;10.78;324.00;378.00;1.25;3.45;64.32;35.68;25.04;
SOIL_10913;463.00;522.00;341.00;390.00;445.00;514.00;494.00;429.00;487.00;549.00;0.05;1.31;0.53;136.43;224.02;73.27;204.80;0.67;2.48;0.21;11.59;327.00;381.00;1.31;3.51;59.10;40.90;17.78;
SOIL_10914;462.00;521.00;341.00;391.00;446.00;513.00;498.00;428.00;486.00;549.00;0.05;1.11;0.50;130.37;240.35;76.44;218.48;0.60;2.19;0.21;10.21;324.00;379.00;1.11;3.14;64.67;35.33;25.98;
SOIL_10917;465.00;519.00;348.00;397.00;451.00;515.00;505.00;427.00;489.00;551.00;0.06;1.33;0.52;137.86;247.89;72.32;221.61;0.62;2.58;0.22;11.60;335.00;386.00;1.33;3.78;59.22;40.78;17.08;
SOIL_10917BIS;463.00;519.00;347.00;396.00;450.00;515.00;499.00;428.00;491.00;551.00;0.07;1.34;0.51;139.83;249.60;75.53;224.68;0.62;2.60;0.23;11.53;333.00;386.00;1.34;3.79;59.58;40.42;17.79;
SOIL_11062;501.00;557.00;353.00;404.00;463.00;527.00;539.00;448.00;513.00;567.00;0.08;1.70;0.53;141.33;224.64;77.52;207.67;0.68;3.20;0.22;14.48;358.00;418.00;1.70;5.25;59.90;40.10;30.15;
SOIL_11062BIS;502.00;559.00;354.00;405.00;463.00;527.00;539.00;449.00;515.00;568.00;0.08;1.67;0.53;139.84;223.94;78.45;207.70;0.67;3.17;0.22;14.42;359.00;419.00;1.67;5.20;60.14;39.86;30.15;
SOIL_11117;468.00;521.00;349.00;401.00;455.00;519.00;486.00;432.00;494.00;553.00;0.11;3.06;0.56;157.66;238.94;69.26;213.35;0.74;5.46;0.23;23.37;338.00;391.00;3.06;7.89;52.93;47.07;23.49;
SOIL_11118;467.00;520.00;352.00;405.00;458.00;521.00;492.00;430.00;494.00;553.00;0.09;2.00;0.51;142.76;267.90;76.17;238.36;0.60;3.93;0.23;16.92;339.00;392.00;2.00;6.04;58.19;41.81;29.65;
SOIL_11119;467.00;518.00;352.00;405.00;460.00;522.00;496.00;430.00;496.00;556.00;0.09;1.78;0.50;139.24;275.42;77.75;244.73;0.57;3.59;0.23;15.41;340.00;393.00;1.78;5.64;60.42;39.58;31.57;
SOIL_11120;471.00;522.00;353.00;406.00;460.00;522.00;491.00;437.00;499.00;555.00;0.11;2.89;0.57;163.61;240.64;68.19;213.98;0.76;5.09;0.24;21.28;339.00;395.00;2.89;7.62;54.21;45.79;31.49;
SOIL_11121;470.00;517.00;351.00;403.00;458.00;521.00;461.00;424.00;482.00;547.00;0.11;3.57;0.64;209.77;232.22;60.80;203.62;1.03;5.60;0.27;20.50;330.00;387.00;3.57;8.17;49.02;50.98;33.58;
SOIL_11124;463.00;516.00;349.00;400.00;453.00;517.00;487.00;421.00;485.00;551.00;0.09;1.68;0.49;132.71;267.76;78.20;239.42;0.55;3.43;0.23;15.24;338.00;390.00;1.68;5.13;56.93;43.07;23.76;
SOIL_11125;467.00;516.00;353.00;406.00;461.00;521.00;482.00;433.00;495.00;554.00;0.12;3.39;0.59;178.02;245.32;65.45;215.81;0.82;5.79;0.25;22.95;335.00;390.00;3.39;8.75;52.11;47.89;32.51;
SOIL_11128;461.00;515.00;345.00;398.00;451.00;516.00;484.00;425.00;486.00;550.00;0.08;1.37;0.48;128.08;269.80;73.14;238.01;0.54;2.84;0.22;12.85;331.00;385.00;1.37;4.19;59.11;40.89;20.51;
SOIL_11133;467.00;519.00;348.00;399.00;454.00;517.00;495.00;435.00;496.00;553.00;0.10;2.83;0.57;160.62;235.77;69.95;211.44;0.76;4.99;0.24;21.20;335.00;390.00;2.83;7.11;51.88;48.12;23.19;
SOIL_11136;470.00;523.00;349.00;401.00;455.00;519.00;492.00;436.00;497.00;555.00;0.11;2.83;0.56;156.56;243.21;67.74;215.59;0.73;5.08;0.23;21.74;335.00;391.00;2.83;7.41;52.84;47.16;23.67;
SOIL_11139;470.00;518.00;351.00;403.00;457.00;519.00;466.00;426.00;484.00;548.00;0.13;4.04;0.63;197.83;229.79;59.84;201.31;0.98;6.44;0.26;24.62;333.00;390.00;4.04;9.21;48.28;51.72;32.01;
SOIL_11141;474.00;525.00;348.00;400.00;455.00;519.00;498.00;441.00;499.00;557.00;0.19;5.28;0.60;181.30;240.44;65.26;212.16;0.85;8.80;0.25;35.09;332.00;393.00;5.28;12.33;47.26;52.74;30.62;
