Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;471.00;501.00;438.00;486.00;524.00;551.00;531.00;471.00;522.00;572.00;0.29;10.27;0.94;369.92;23.76;9.83;22.90;16.15;10.89;0.33;33.46;405.00;435.00;10.27;12.99;47.23;52.77;44.53;;;
IFP 160K_02;474.00;504.00;433.00;480.00;521.00;550.00;536.00;472.00;521.00;572.00;0.28;10.30;0.94;369.71;24.70;9.59;23.44;15.77;10.93;0.33;33.58;407.00;438.00;10.30;13.07;47.23;52.77;44.53;;;VERSION INFORMATION:
IFP 160K_03;473.00;503.00;434.00;481.00;521.00;550.00;531.00;471.00;522.00;572.00;0.28;10.16;0.94;369.27;24.65;10.68;24.03;15.37;10.79;0.33;33.17;407.00;437.00;10.16;12.90;47.27;52.73;44.46;;;
IFP 160K_04;472.00;503.00;432.00;481.00;521.00;551.00;535.00;472.00;522.00;573.00;0.29;10.33;0.94;375.11;24.92;10.26;23.99;15.64;10.99;0.33;33.25;406.00;436.00;10.33;12.50;47.27;52.73;44.46;;;Geoworks V1.6R2
IFP 160K_05;472.00;502.00;432.00;481.00;521.00;550.00;531.00;471.00;521.00;572.00;0.30;10.27;0.94;370.07;25.29;10.64;24.48;15.12;10.92;0.33;33.45;405.00;436.00;10.27;13.03;47.23;52.77;44.53;;;
SOIL_10688;456.00;511.00;339.00;388.00;442.00;512.00;482.00;419.00;473.00;543.00;0.05;1.01;0.51;129.68;233.89;72.93;211.78;0.61;1.99;0.21;9.35;320.00;373.00;1.01;2.81;69.62;30.38;27.15;;;PARTYsoc V2.0
SOIL_10689;459.00;515.00;343.00;392.00;445.00;512.00;479.00;421.00;476.00;544.00;0.05;0.93;0.49;124.21;245.71;76.21;222.25;0.56;1.92;0.21;9.06;324.00;377.00;0.93;2.75;70.61;29.39;26.70;;;Cécillon et al,2021
SOIL_10690;455.00;506.00;340.00;389.00;442.00;510.00;455.00;412.00;460.00;536.00;0.06;1.46;0.58;160.33;216.53;64.72;194.46;0.82;2.52;0.23;11.00;321.00;373.00;1.46;3.43;60.09;39.91;33.03;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
SOIL_10691;458.00;512.00;340.00;388.00;440.00;509.00;481.00;419.00;471.00;542.00;0.06;1.25;0.54;143.33;227.64;71.69;206.53;0.69;2.34;0.22;10.55;322.00;375.00;1.25;3.16;64.96;35.04;25.94;
SOIL_10692;458.00;508.00;342.00;390.00;442.00;510.00;461.00;413.00;461.00;537.00;0.06;1.75;0.61;179.50;210.77;64.78;190.30;0.94;2.85;0.24;11.75;323.00;373.00;1.75;3.76;55.15;44.85;27.92;
SOIL_10693;461.00;517.00;338.00;386.00;443.00;514.00;492.00;424.00;477.00;545.00;0.05;0.93;0.50;125.82;231.60;75.33;211.48;0.59;1.86;0.21;8.89;322.00;377.00;0.93;2.65;68.52;31.48;24.86;
SOIL_10699;457.00;514.00;343.00;391.00;444.00;511.00;478.00;417.00;473.00;542.00;0.06;1.15;0.51;132.59;243.72;72.59;218.73;0.61;2.27;0.22;10.43;323.00;374.00;1.15;3.19;66.87;33.13;25.63;
SOIL_10704;460.00;515.00;342.00;391.00;444.00;512.00;473.00;419.00;468.00;541.00;0.05;1.19;0.56;143.80;213.51;61.85;190.62;0.75;2.13;0.21;9.95;322.00;375.00;1.19;2.92;63.26;36.74;24.94;
SOIL_10722;465.00;517.00;351.00;403.00;459.00;521.00;492.00;430.00;494.00;553.00;0.12;2.53;0.53;150.16;258.87;69.64;228.07;0.66;4.74;0.23;20.26;335.00;389.00;2.53;7.21;58.42;41.58;31.46;
SOIL_10723;474.00;526.00;353.00;405.00;460.00;522.00;496.00;436.00;498.00;555.00;0.13;2.78;0.55;152.45;248.10;68.01;219.30;0.70;5.07;0.23;21.95;341.00;397.00;2.78;7.76;56.21;43.79;31.58;
SOIL_10724;469.00;519.00;357.00;412.00;467.00;525.00;488.00;426.00;494.00;553.00;0.14;2.16;0.48;144.25;336.76;69.81;284.81;0.51;4.54;0.25;18.03;347.00;398.00;2.16;7.85;60.11;39.89;33.91;
SOIL_10725;468.00;520.00;346.00;397.00;452.00;517.00;494.00;432.00;492.00;552.00;0.09;2.04;0.52;138.36;245.01;72.15;219.42;0.63;3.92;0.22;17.77;333.00;390.00;2.04;5.73;53.45;46.55;19.40;
SOIL_10726;465.00;516.00;352.00;407.00;461.00;523.00;458.00;417.00;484.00;547.00;0.12;1.74;0.46;131.94;331.31;73.12;282.74;0.47;3.81;0.24;15.86;348.00;397.00;1.74;6.38;62.28;37.72;33.83;
SOIL_10726BIS;465.00;516.00;351.00;406.00;460.00;522.00;471.00;417.00;484.00;547.00;0.12;1.73;0.46;132.14;335.80;70.66;284.60;0.46;3.81;0.24;15.81;347.00;396.00;1.73;6.35;62.34;37.66;33.30;
SOIL_10727;465.00;518.00;346.00;396.00;450.00;514.00;486.00;431.00;488.00;551.00;0.08;1.53;0.50;129.44;242.38;74.93;219.09;0.59;3.04;0.21;14.22;330.00;386.00;1.53;4.33;55.65;44.35;18.14;
