Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;
IFP 160K_01;474.00;504.00;430.00;480.00;521.00;550.00;534.00;479.00;526.00;573.00;0.28;10.59;0.94;388.46;23.05;10.67;22.86;16.99;11.22;0.34;32.87;407.00;437.00;10.59;12.93;47.27;52.73;44.46;;;
IFP 160K_02;477.00;508.00;430.00;479.00;520.00;550.00;536.00;481.00;526.00;573.00;0.27;10.46;0.95;384.04;22.11;8.53;20.95;18.33;11.04;0.34;32.83;409.00;440.00;10.46;12.73;48.52;51.48;43.29;;;VERSION INFORMATION:
IFP 160K_03;475.00;506.00;431.00;480.00;520.00;550.00;536.00;480.00;526.00;573.00;0.27;10.57;0.95;387.89;21.66;10.36;21.67;17.90;11.19;0.34;32.86;408.00;439.00;10.57;12.87;47.60;52.40;44.11;;;
IFP 160K_04;475.00;506.00;429.00;478.00;520.00;549.00;536.00;480.00;526.00;573.00;0.27;10.67;0.94;390.96;22.59;10.78;22.59;17.31;11.30;0.34;32.92;408.00;438.00;10.67;13.00;47.60;52.40;44.11;;;Geoworks V1.6R2
IFP 160K_04BIS;473.00;503.00;434.00;482.00;521.00;550.00;516.00;466.00;513.00;565.00;0.28;10.55;0.94;384.89;23.81;11.02;23.61;16.30;11.18;0.34;33.03;407.00;437.00;10.55;13.25;47.25;52.75;44.38;;;
IFP 160K_05;474.00;504.00;435.00;482.00;521.00;550.00;520.00;468.00;514.00;565.00;0.28;10.61;0.94;383.22;23.09;10.48;22.78;16.82;11.23;0.34;33.37;408.00;439.00;10.61;13.31;47.29;52.71;44.56;;;PARTYsoc V2.0
IFP 160K_06;475.00;505.00;435.00;482.00;521.00;550.00;521.00;469.00;514.00;566.00;0.28;10.49;0.94;382.83;23.12;10.65;22.90;16.72;11.11;0.34;33.02;409.00;440.00;10.49;13.20;47.49;52.51;44.30;;;Cécillon et al,2021
IFP 160K_07;474.00;504.00;434.00;481.00;521.00;550.00;519.00;469.00;515.00;566.00;0.28;10.48;0.94;383.86;23.74;10.84;23.46;16.36;11.11;0.34;32.91;408.00;438.00;10.48;13.18;47.31;52.69;44.52;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP 160K_07BIS;475.00;506.00;435.00;483.00;523.00;551.00;535.00;472.00;522.00;572.00;0.29;10.74;0.95;388.03;23.23;9.44;22.29;17.41;11.36;0.34;33.38;408.00;438.00;10.74;13.43;47.59;52.41;44.14;
IFP 160K_08;475.00;505.00;433.00;481.00;521.00;551.00;534.00;471.00;521.00;572.00;0.31;10.32;0.94;374.69;25.79;9.96;24.45;15.33;10.98;0.33;33.22;408.00;438.00;10.32;13.18;47.45;52.55;44.25;
