Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;;;
IFP160K_01;475;505;436;483;522;551;518;467;514;566;0.29;10.51;0.94;379.82;23.5;10.9;23.32;16.29;11.14;0.33;33.36;409;438;10.51;13.2;47.47;52.53;44.34;;;
IFP160K_02;476;506;433;481;520;550;517;468;514;565;0.28;10.43;0.94;382.5;23.47;11.51;23.65;16.18;11.05;0.34;32.86;409;439;10.43;13.08;47.6;52.4;44.04;;;VERSION INFORMATION:
IFP160K_03;475;505;437;485;523;551;516;468;514;565;0.28;10.27;0.94;379.68;22.62;10.77;22.61;16.8;10.88;0.33;32.6;409;439;10.27;12.87;47.44;52.56;44.17;;;
IFP160K_04;476;505;436;484;524;552;519;467;512;564;0.27;10.21;0.94;380.24;23.33;10.61;23.03;16.51;10.81;0.33;32.37;409;439;10.21;12.9;47.53;52.47;44.22;;;Geoworks V1.6R2
SOIL_11183;457;514;341;394;447;512;417;406;437;491;0.21;1.89;0.39;104.92;352.75;61.7;291.81;0.36;4.78;0.22;21.66;321;388;1.89;7.58;57.39;42.61;32.49;;;
SOIL_11184;458;502;337;389;439;503;414;400;431;494;0.1;1.46;0.54;163.04;273.14;58.44;232.04;0.7;2.68;0.25;10.78;335;391;1.46;3.68;63.23;36.77;32.52;;;PARTYsoc V2.0
SOIL_11185;469;523;342;391;445;512;437;419;464;532;0.25;5.87;0.59;168.95;220.97;71.94;201.82;0.84;10.02;0.24;41.87;319;381;5.87;13.16;45.4;54.6;29.53;;;Cécillon et al,2021
SOIL_11186;468;532;340;393;450;516;430;416;446;515;0.11;0.67;0.34;95.65;409.52;74.37;340.33;0.28;1.97;0.23;8.42;333;394;0.67;3.27;70.75;29.25;28.51;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
SOIL_11187;462;516;348;401;453;517;428;416;451;523;0.23;3.79;0.52;123.89;223.02;60.73;196.9;0.63;7.3;0.2;36.92;322;385;3.79;10.55;53.95;46.05;32.24;;;
SOIL_11188;456;509;340;394;446;511;418;407;440;499;0.23;2.18;0.43;114.74;321.87;64.27;270.81;0.42;5.07;0.22;22.94;317;386;2.18;7.74;57.14;42.86;32.1;;;
SOIL_11189;463;507;336;388;438;503;423;401;432;495;0.11;1.28;0.52;149.94;280.66;59.75;238.26;0.63;2.47;0.24;10.32;338;396;1.28;3.44;63.37;36.63;28.1;;;
SOIL_11190;468;522;341;390;444;511;437;419;464;532;0.25;5.61;0.58;166.09;223.94;73.13;204.65;0.81;9.69;0.24;40.68;318;380;5.61;12.75;45.87;54.13;29.97;;;
SOIL_11191;466;530;340;394;450;516;437;418;449;517;0.12;0.68;0.34;95.98;412.03;75.79;342.97;0.28;2.01;0.24;8.51;333;394;0.68;3.32;70.45;29.55;28.33;;;
SOIL_11192;463;516;348;401;453;517;429;416;453;524;0.23;3.79;0.52;126.31;224.67;58.76;196.97;0.64;7.23;0.2;36.13;322;387;3.79;10.48;54.01;45.99;32.95;;;
SOIL_11193;455;508;340;394;446;511;423;410;441;498;0.23;2.2;0.44;114.42;312.99;62.04;263.08;0.43;5.05;0.22;23.14;316;385;2.2;7.71;57.57;42.43;32.85;;;
SOIL_11194;462;504;337;387;438;502;421;401;432;497;0.1;1.43;0.55;163.18;266.85;56.97;226.63;0.72;2.59;0.24;10.59;337;394;1.43;3.55;62.62;37.38;31.17;;;
SOIL_11195;468;523;342;391;444;511;441;418;463;532;0.25;5.75;0.58;166.7;221.17;72.37;202.21;0.82;9.86;0.24;41.55;318;379;5.75;12.92;45.24;54.76;29.24;;;
SOIL_11195BIS;469;523;342;391;444;511;439;418;463;532;0.25;5.77;0.58;166.65;220.04;72.89;201.68;0.83;9.9;0.24;41.71;319;380;5.77;12.99;45.24;54.76;29.36;;;
SOIL_11196;469;532;342;397;452;516;429;416;446;513;0.1;0.64;0.33;92.72;421.01;71.79;347.21;0.27;1.95;0.24;8.29;333;395;0.64;3.28;72.21;27.79;29.01;;;
SOIL_11197;463;516;349;403;455;518;425;415;450;522;0.22;3.76;0.52;122.7;221.98;58.51;194.87;0.63;7.23;0.2;36.89;322;386;3.76;10.57;55.56;44.44;35.27;;;
SOIL_11197BIS;462;516;348;401;453;517;429;415;451;523;0.22;3.78;0.52;123.07;219.75;61.83;195.15;0.63;7.26;0.2;36.98;322;386;3.78;10.51;54.26;45.74;32.84;;;
