Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;;;
IFP160K_01;473;503;435;483;523;551;532;473;522;573;0.29;10.49;0.94;383.78;24.3;9.37;23.03;16.66;11.11;0.34;32.95;406;436;10.49;13.15;47.27;52.73;44.46;;;
IFP160K_01BIS;474;504;435;484;524;552;532;473;523;573;0.3;10.23;0.94;377.94;24.51;10.31;23.71;15.94;10.85;0.33;32.63;407;437;10.23;12.9;47.27;52.73;44.46;;;VERSION INFORMATION:
IFP160K_02;474;504;432;480;521;551;532;472;522;573;0.29;10.48;0.94;383.39;24.77;10.43;23.98;15.99;11.12;0.34;32.94;407;438;10.48;13.15;47.27;52.73;44.46;;;
IFP160K_03;475;505;436;484;523;551;532;472;523;573;0.28;10.36;0.95;381.54;23.04;10.05;22.5;16.96;10.96;0.33;32.75;408;438;10.36;12.96;47.45;52.55;44.25;;;Geoworks V1.6R2
IFP160K_04;475;506;431;479;520;550;532;472;522;572;0.29;10.16;0.94;376.35;25.09;10.17;24.06;15.64;10.79;0.33;32.53;409;439;10.16;12.8;47.6;52.4;44.11;;;
IFP160K_05;474;505;435;483;523;551;534;472;522;572;0.28;10.32;0.94;379.86;23.3;9.82;22.56;16.84;10.93;0.33;32.76;408;438;10.32;12.92;47.46;52.54;44.26;;;PARTYsoc V2.0
IFP160K_06;475;506;435;482;522;550;533;472;522;573;0.28;10.37;0.95;383.31;23.24;9.49;22.33;17.17;10.97;0.34;32.6;409;439;10.37;12.9;47.6;52.4;44.11;;;Cécillon et al,2021
IFP160K_07;475;505;432;479;520;550;532;472;522;573;0.29;10.42;0.94;379.74;24.56;9.88;23.51;16.15;11.05;0.33;33.09;409;439;10.42;13.07;47.45;52.55;44.25;;;Geosci. https://doi.org/10.5194/gmd-14-3879-2021
IFP160K_08;474;504;433;482;522;551;533;472;522;572;0.29;10.34;0.94;380.7;24.18;9.81;23.19;16.42;10.96;0.33;32.73;407;437;10.34;12.94;47.27;52.73;44.46;;;
IFP160K_09;476;507;433;481;521;550;531;473;523;573;0.29;10.32;0.94;382.87;24.05;10.37;23.42;16.35;10.95;0.34;32.5;409;439;10.32;12.91;48.43;51.57;43.37;;;
