Analyse;T70_HC_PYR;T90_HC_PYR;T30_CO2_PYR;T50_CO2_PYR;T70_CO2_PYR;T90_CO2_PYR;T70_CO_OX;T50_CO2_OX;T70_CO2_OX;T90_CO2_OX;PseudoS1;S2;S2_PC;HI;OI;OICO;OIRE6;HI_OIre6;PC;PC_TOCRE6;TOCRE6;T10_HC_PYR;T30_HC_PYR;S1S2_HC_PYR;S1S2_TOT_PYR;StableCarbon;ActiveCarbon;Confidence;;;
IFP160K_10;473;504;438;486;525;551;532;472;523;572;0.28;10.46;0.95;388.33;21.7;10.07;21.53;18.03;11.05;0.34;32.47;407;437;10.46;13.02;47.27;52.73;44.46;;;
IFP160K_11;475;505;432;480;521;550;534;471;521;572;0.3;10.32;0.94;384.51;24.89;10.14;23.9;16.09;10.96;0.34;32.37;407;438;10.32;12.98;47.49;52.51;44.17;;;
SOIL_11028;485;548;342;388;442;512;506;428;491;555;0.08;1.62;0.53;125.99;195.39;72.79;183.7;0.69;3.05;0.2;15.46;348;403;1.62;4.08;55.39;44.61;19.56;;;
SOIL_11029;506;564;360;413;472;530;542;458;519;572;0.1;1.84;0.57;159.77;216.49;75.2;200.41;0.8;3.24;0.23;13.88;360;423;1.84;5.38;57.68;42.32;29.97;;;
SOIL_11030;496;557;356;408;466;527;531;450;513;565;0.08;1.18;0.49;121.87;234.32;77.49;214.69;0.57;2.43;0.21;11.69;353;410;1.18;4.13;72.3;27.7;24.23;;;
SOIL_11031;504;562;356;407;464;526;537;455;516;568;0.11;2.45;0.58;157.34;208.03;67.56;189.9;0.83;4.23;0.22;18.8;360;422;2.45;6.46;53.19;46.81;29.49;;;
SOIL_11032;499;560;362;416;474;531;527;455;517;568;0.07;0.97;0.47;118.28;250.16;76.29;225.53;0.52;2.07;0.21;9.84;355;412;0.97;4.01;77.39;22.61;23;;;
SOIL_11049;495;548;357;410;468;528;534;444;508;564;0.07;1.48;0.55;154.33;235.02;61.49;206.06;0.75;2.68;0.23;11.56;360;419;1.48;4.8;65.07;34.93;29.55;;;
SOIL_11050;502;558;353;404;460;526;529;443;510;563;0.12;1.92;0.52;134.34;232.16;72.05;210.02;0.64;3.71;0.22;17.23;363;422;1.92;5.95;57.96;42.04;29.58;;;
SOIL_11051;495;553;356;409;467;528;605;477;535;585;0.08;1.79;0.58;122.22;170.96;42.75;148.76;0.82;3.11;0.18;17.67;354;416;1.79;5.37;59.06;40.94;32.14;;;
SOIL_11052;508;567;364;416;473;531;539;459;520;571;0.11;1.19;0.46;114.72;241.91;83.38;223.57;0.51;2.59;0.21;12.52;360;420;1.19;4.75;71.9;28.1;26.6;;;
SOIL_11053;508;567;362;415;474;532;540;457;519;571;0.09;1.42;0.52;138.96;231.31;80.67;214.32;0.65;2.75;0.22;12.29;360;423;1.42;4.88;65.5;34.5;29.46;;;
SOIL_11054;498;554;358;412;470;529;599;472;532;582;0.08;1.39;0.53;108.77;184.71;44.22;159.61;0.68;2.61;0.17;15.37;361;420;1.39;4.81;70.4;29.6;30.91;;;
SOIL_11063;483;537;352;403;459;521;512;443;503;558;0.1;2.38;0.57;167.64;242.37;65.9;213.92;0.78;4.16;0.24;17.15;349;407;2.38;6.38;54.06;45.94;27.97;;;
SOIL_11063BIS;484;537;353;405;459;522;508;443;503;558;0.1;2.33;0.57;165.45;243.3;63.33;213.13;0.78;4.09;0.24;17.01;349;408;2.33;6.32;54.24;45.76;28.05;;;
SOIL_11064;498;556;349;399;456;523;532;445;509;564;0.1;2.67;0.59;168.32;209.71;71.32;193.27;0.87;4.51;0.24;19.13;355;417;2.67;6.58;50.72;49.28;27.48;;;
SOIL_11065;497;555;348;396;454;522;536;446;509;565;0.11;2.5;0.58;163.59;214.73;73.87;198.38;0.82;4.31;0.23;18.38;352;413;2.5;6.25;51.75;48.25;26.16;;;
SOIL_11066;496;554;356;411;470;530;533;446;512;567;0.07;1.24;0.51;141.63;252.95;76.05;227.42;0.62;2.44;0.23;10.52;348;410;1.24;4.59;70.69;29.31;26.51;;;
SOIL_11067;498;558;352;401;458;523;533;447;510;563;0.1;1.54;0.49;121;231.96;78.53;213.58;0.57;3.17;0.21;15.37;354;413;1.54;4.92;61;39;29.95;;;
SOIL_11068;492;552;350;399;456;523;527;445;507;561;0.08;1.74;0.56;148.36;212.32;72.11;195.62;0.76;3.12;0.22;14.13;347;406;1.74;4.72;56.37;43.63;24.09;;;
SOIL_11071;498;559;354;403;459;523;538;450;514;564;0.07;1.15;0.47;111.9;231.95;78.73;213.68;0.52;2.48;0.2;12.42;353;411;1.15;3.99;71.62;28.38;24.48;;;
SOIL_11072;497;555;346;393;448;519;525;441;507;561;0.12;2.87;0.56;149.38;212.04;73.08;195.97;0.76;5.12;0.22;23.14;358;417;2.87;7.2;53;47;24.98;;;
SOIL_11073;497;556;349;397;454;521;532;447;508;563;0.09;2.43;0.58;160.45;209.69;72.8;194.1;0.83;4.19;0.23;18.22;350;412;2.43;6.09;51.9;48.1;26.08;;;
SOIL_11509;506;566;354;403;460;525;534;456;515;567;0.11;2.32;0.56;148.85;202.11;79.72;192.55;0.77;4.14;0.22;18.79;356;419;2.32;6.14;55.73;44.27;29.47;;;
SOIL_11510;498;556;353;404;463;526;535;447;511;565;0.09;2.09;0.57;153.36;214.65;69.26;195.69;0.78;3.69;0.22;16.44;355;416;2.09;5.92;55;45;27.66;;;
SOIL_11511;500;559;351;401;458;525;528;443;508;561;0.1;1.63;0.5;126.05;238.63;75.1;216.46;0.58;3.3;0.21;15.62;355;416;1.63;5.27;59.68;40.32;29.28;;;
SOIL_11512;497;554;353;404;465;528;528;444;508;565;0.08;1.67;0.54;149.47;231.19;77.51;212.43;0.7;3.11;0.23;13.46;351;411;1.67;5.2;60.72;39.28;29.72;;;
SOIL_11513;500;556;355;407;465;528;533;444;508;564;0.08;1.71;0.54;142.32;220.57;70.45;200.67;0.71;3.15;0.22;14.45;358;418;1.71;5.31;60.65;39.35;31.08;;;
SOIL_11513BIS;500;558;355;407;465;528;533;444;509;564;0.08;1.71;0.54;143.77;220.99;70.77;201.16;0.71;3.15;0.22;14.33;356;417;1.71;5.31;60.57;39.43;30.79;;;
SOIL_11514;498;554;351;400;457;524;523;445;509;562;0.13;2.25;0.53;136.11;228.64;70.29;206.45;0.66;4.27;0.21;19.91;356;416;2.25;6.68;56.34;43.66;28.37;;;
SOIL_11515;501;560;355;407;464;527;522;447;510;565;0.09;1.69;0.52;139.01;228.15;76.54;209.66;0.66;3.23;0.22;14.61;353;416;1.69;5.34;60.94;39.06;30.87;;;
SOIL_17929;508;568;359;409;465;527;534;461;519;570;0.11;1.72;0.52;132.82;207.38;82.51;197.97;0.67;3.29;0.21;15.63;353;417;1.72;5.13;61.42;38.58;32.91;;;
SOIL_17930;508;568;356;406;461;525;538;458;517;568;0.11;1.82;0.53;136.56;210.03;81.73;199.45;0.68;3.44;0.21;16.07;355;419;1.82;5.18;60.45;39.55;32.49;;;
SOIL_17931;471;529;341;389;442;510;500;428;482;551;0.07;1.47;0.55;148.86;220.98;75.3;203.75;0.73;2.68;0.23;11.89;328;386;1.47;3.57;58.15;41.85;19.81;;;
SOIL_17932;494;554;345;392;446;516;529;446;506;561;0.11;3.59;0.62;182.98;198.25;75.52;187.33;0.98;5.8;0.25;23.65;343;406;3.59;7.61;49.39;50.61;27.63;;;
SOIL_17933;477;537;349;401;456;520;541;431;506;564;0.08;1.03;0.45;107.29;254.47;69.19;224.61;0.48;2.29;0.2;11.57;345;399;1.03;3.62;69.43;30.57;25.31;;;
SOIL_17946;505;564;356;405;463;527;534;458;517;569;0.1;2.12;0.56;147.83;197.51;81.99;190.49;0.78;3.79;0.22;17.26;353;416;2.12;5.7;56.54;43.46;29.86;;;
SOIL_17947;502;561;350;398;455;521;529;454;515;567;0.11;2.87;0.59;163.81;203.15;75.4;190.83;0.86;4.88;0.23;21.09;353;416;2.87;6.86;50.86;49.14;28.24;;;
SOIL_17948;469;524;337;383;438;508;491;424;478;549;0.08;1.95;0.59;168.05;209.32;68.56;191.41;0.88;3.3;0.24;14.01;326;383;1.95;4.31;45.74;54.26;21.56;;;
SOIL_17949;495;557;347;393;448;517;528;448;508;564;0.1;3.71;0.63;186.25;197.44;73.44;185.56;1;5.91;0.25;24;344;407;3.71;7.72;48.97;51.03;28.87;;;
SOIL_17950;476;538;349;401;456;520;535;431;506;564;0.08;0.96;0.43;108.69;285.9;71.71;248.91;0.44;2.23;0.21;10.65;346;398;0.96;3.62;69.24;30.76;24.93;;;
SOIL_17951;480;538;341;385;438;510;491;421;484;551;0.08;2.7;0.62;171.39;188.16;64.75;173.85;0.99;4.36;0.23;18.96;347;400;2.7;5.56;47.54;52.46;24.14;;;
SOIL_17951BIS;480;537;342;386;439;510;487;425;486;552;0.07;2.74;0.62;173.45;186.74;64.64;172.75;1;4.39;0.23;19.01;347;398;2.74;5.6;48.47;51.53;24.15;;;
SOIL_17952;501;556;350;403;464;529;536;455;517;570;0.12;2.14;0.55;160.69;246.8;80.81;225.67;0.71;3.92;0.24;16.03;362;424;2.14;6.29;58.41;41.59;30.48;;;
SOIL_17953;494;553;357;411;470;529;532;450;514;565;0.07;1.19;0.5;128.37;235.63;77.28;215.53;0.6;2.39;0.21;11.16;351;409;1.19;4.28;71.9;28.1;25.38;;;
SOIL_17954;501;558;355;406;464;526;536;453;516;568;0.11;2.68;0.6;170.03;206.27;67.73;188.71;0.9;4.46;0.23;18.98;357;419;2.68;6.72;52.18;47.82;30.97;;;
SOIL_17955;492;550;354;406;466;527;528;446;510;563;0.07;1.63;0.54;146.23;225.31;71.87;204.93;0.71;3.01;0.22;13.46;350;408;1.63;5.08;60.84;39.16;30.33;;;
SOIL_17957;491;542;352;404;462;525;518;436;501;557;0.09;2.15;0.59;171.7;223.89;59.78;196.99;0.87;3.64;0.24;15.08;358;416;2.15;5.87;53.31;46.69;26.51;;;
SOIL_17958;491;546;352;404;463;526;584;465;527;581;0.08;2.18;0.6;143.7;174.96;49.54;155.55;0.92;3.61;0.2;18.31;352;413;2.18;5.83;53.56;46.44;29.2;;;
SOIL_17959;505;562;359;410;469;529;537;453;517;568;0.11;1.65;0.51;133.41;222.21;79.71;207.15;0.64;3.21;0.22;14.91;360;420;1.65;5.43;61.86;38.14;32.58;;;
SOIL_17968;506;563;359;410;469;529;537;455;518;569;0.09;1.82;0.55;148.88;214.97;76.11;199.84;0.75;3.3;0.22;14.7;361;423;1.82;5.42;60.52;39.48;31.33;;;
SOIL_17969;495;550;357;410;468;528;605;469;531;583;0.08;1.61;0.55;115.33;179.46;43.59;155.42;0.74;2.93;0.17;16.85;360;420;1.61;5.15;63.89;36.11;32.97;;;
SOIL_17970;481;533;349;400;456;520;507;437;498;554;0.11;2.94;0.6;183.03;233.94;64.79;207.16;0.88;4.9;0.25;19.33;346;405;2.94;7.23;49.31;50.69;25.44;;;
SOIL_17971;494;549;346;395;452;521;524;439;504;560;0.11;3.37;0.61;180.5;208.82;65.98;189.57;0.95;5.47;0.24;22.47;352;414;3.37;7.71;49.69;50.31;27.73;;;
SOIL_17972;498;556;348;396;453;522;524;447;510;564;0.11;2.64;0.59;165.93;208.07;73.37;193.25;0.86;4.48;0.23;19.14;353;415;2.64;6.38;50.95;49.05;27.1;;;
SOIL_17973;491;546;350;402;462;526;532;437;504;561;0.08;1.98;0.58;171.94;228.29;71.24;206.74;0.83;3.45;0.25;13.9;347;407;1.98;5.64;53.74;46.26;25.34;;;
SOIL_17973BIS;491;547;351;402;462;526;515;438;505;562;0.08;2.02;0.58;173.77;228.8;70.04;206.42;0.84;3.48;0.25;14;347;407;2.02;5.67;53.19;46.81;26.16;;;
SOIL_17974;495;552;349;398;455;521;531;443;509;562;0.11;1.79;0.51;129.13;228.77;78.54;211.25;0.61;3.55;0.21;16.74;352;411;1.79;5.37;56.29;43.71;26.08;;;
SOIL_17975;490;548;348;396;454;522;527;443;505;560;0.08;2.02;0.58;161.17;209.48;72.17;193.59;0.83;3.47;0.23;15.07;344;404;2.02;5.11;52.46;47.54;24.57;;;
SOIL_17976;490;546;339;385;443;516;505;435;504;556;0.15;2.35;0.5;134.76;262.8;71.46;231.96;0.58;4.7;0.22;21.04;357;413;2.35;6.75;53.21;46.79;22.09;;;
SOIL_17977;499;555;347;394;449;520;525;441;507;560;0.13;2.9;0.56;149.37;209.09;72.15;193.29;0.77;5.16;0.22;23.4;358;418;2.9;7.24;51.59;48.41;24.91;;;
SOIL_17978;497;556;349;397;454;521;527;448;510;564;0.1;2.63;0.59;165.17;204.18;74.41;191.01;0.86;4.45;0.23;19.16;349;412;2.63;6.34;50.95;49.05;27.38;;;
SOIL_18011;505;563;354;404;461;526;537;456;516;569;0.12;2.64;0.58;160.43;203.29;79.91;193.5;0.83;4.56;0.23;19.84;353;418;2.64;6.76;52.13;47.87;30.03;;;
SOIL_18012;499;556;354;405;464;527;533;447;510;565;0.09;1.88;0.55;148.18;217.13;72.52;199.36;0.74;3.4;0.22;15.27;355;416;1.88;5.55;58;42;29.18;;;
SOIL_18013;495;552;349;398;455;523;527;441;506;560;0.1;2.08;0.54;146.3;229.05;70.56;206.9;0.71;3.84;0.22;17.14;353;413;2.08;5.9;55.31;44.69;26.01;;;
SOIL_18014;495;553;349;399;461;526;527;443;506;564;0.09;2.08;0.57;165.84;221.63;76.21;204.73;0.81;3.64;0.24;15.1;348;410;2.08;5.73;53.38;46.62;26.63;;;
SOIL_18015;499;554;355;408;467;529;534;445;510;565;0.09;1.68;0.55;149.79;220.93;75.41;203.76;0.74;3.07;0.23;13.56;355;416;1.68;5.16;60.39;39.61;30.25;;;
SOIL_18016;503;559;354;403;461;527;531;447;511;564;0.11;1.83;0.51;127.64;224.54;71.54;204.18;0.63;3.58;0.21;17.26;360;420;1.83;5.87;61;39;31.92;;;
SOIL_18017;498;554;351;400;458;524;527;444;507;562;0.1;2.48;0.57;160.14;215.65;73.39;198.77;0.81;4.33;0.23;18.64;353;414;2.48;6.59;52.94;47.06;27.82;;;
SOIL_18017BIS;495;552;350;400;458;524;525;443;506;562;0.11;2.51;0.57;162.33;218.51;73.32;200.82;0.81;4.39;0.24;18.65;349;410;2.51;6.68;52.6;47.4;27.32;;;
SOIL_9286;470;535;340;388;440;510;503;432;490;553;0.05;1.07;0.52;133;212.47;86.2;203.78;0.65;2.07;0.21;9.68;328;382;1.07;2.77;63.07;36.93;23.52;;;
